country,residency,number,year
EL,FOR,119971390,2019
EL,FOR,118876323,2018
EL,FOR,97034421,2017
EL,FOR,87912850,2016
EL,FOR,85164063,2015
EL,FOR,80174274,2014
EL,FOR,68992640,2013
EL,FOR,61054383,2012
EL,FOR,64229570,2011
EL,FOR,58147769,2010
EL,FOR,56515414,2009
EL,FOR,47973949,2008
EL,FOR,48081473,2007
EL,FOR,43055381,2006
EL,FOR,40734354,2005
EL,FOR,38796196,2004
EL,FOR,40407463,2003
EL,FOR,40952769,2002
EL,FOR,42494140,2001
EL,FOR,47023618,2000
EL,FOR,41999546,1999
EL,FOR,39178796,1998
EL,FOR,40990773,1997
EL,FOR,35993353,1996
EL,FOR,38226678,1995
EL,FOR,41199694,1994
EL,FOR,0,1993
EL,FOR,0,1992
EL,FOR,0,1991
EL,FOR,0,1990
ES,FOR,299091409,2019
ES,FOR,301022634,2018
ES,FOR,305907462,2017
ES,FOR,294556428,2016
ES,FOR,269418103,2015
ES,FOR,259635794,2014
ES,FOR,252447766,2013
ES,FOR,243389006,2012
ES,FOR,239369167,2011
ES,FOR,213349649,2010
ES,FOR,200551728,2009
ES,FOR,223756216,2008
ES,FOR,225450241,2007
ES,FOR,224518083,2006
ES,FOR,209518387,2005
ES,FOR,209081382,2004
ES,FOR,217851459,2003
ES,FOR,220699515,2002
ES,FOR,231442166,2001
ES,FOR,233900964,2000
ES,FOR,160424403,1999
ES,FOR,120996632,1998
ES,FOR,113202480,1997
ES,FOR,106442110,1996
ES,FOR,107604922,1995
ES,FOR,104156408,1994
ES,FOR,88394664,1993
ES,FOR,81183389,1992
ES,FOR,78801693,1991
ES,FOR,75745030,1990
EL,NAT,23623077,2019
EL,NAT,24064088,2018
EL,NAT,21974593,2017
EL,NAT,22107192,2016
EL,NAT,20900203,2015
EL,NAT,20589198,2014
EL,NAT,20112805,2013
EL,NAT,19512289,2012
EL,NAT,23210439,2011
EL,NAT,25889906,2010
EL,NAT,28568091,2009
EL,NAT,17650614,2008
EL,NAT,17338763,2007
EL,NAT,14741170,2006
EL,NAT,14529739,2005
EL,NAT,13757825,2004
EL,NAT,14094641,2003
EL,NAT,13513540,2002
EL,NAT,13774076,2001
EL,NAT,15162275,2000
EL,NAT,13881942,1999
EL,NAT,13531025,1998
EL,NAT,14085036,1997
EL,NAT,12669026,1996
EL,NAT,12404420,1995
EL,NAT,12235417,1994
EL,NAT,0,1993
EL,NAT,0,1992
EL,NAT,0,1991
EL,NAT,0,1990
ES,NAT,170722142,2019
ES,NAT,165918083,2018
ES,NAT,165292267,2017
ES,NAT,160400822,2016
ES,NAT,152808273,2015
ES,NAT,144327228,2014
ES,NAT,136764221,2013
ES,NAT,139281970,2012
ES,NAT,150489310,2011
ES,NAT,151514295,2010
ES,NAT,148002725,2009
ES,NAT,151937093,2008
ES,NAT,156462217,2007
ES,NAT,154757459,2006
ES,NAT,143874021,2005
ES,NAT,135188012,2004
ES,NAT,124689085,2003
ES,NAT,118169863,2002
ES,NAT,113486388,2001
ES,NAT,110762971,2000
ES,NAT,95877784,1999
ES,NAT,79994078,1998
ES,NAT,73881183,1997
ES,NAT,71761799,1996
ES,NAT,72536239,1995
ES,NAT,70676910,1994
ES,NAT,68596441,1993
ES,NAT,66062846,1992
ES,NAT,71514000,1991
ES,NAT,66647704,1990
EL,TOTAL,143594467,2019
EL,TOTAL,142940411,2018
EL,TOTAL,119009014,2017
EL,TOTAL,110020042,2016
EL,TOTAL,106064266,2015
EL,TOTAL,100763472,2014
EL,TOTAL,89105445,2013
EL,TOTAL,80566672,2012
EL,TOTAL,87440009,2011
EL,TOTAL,84037675,2010
EL,TOTAL,85083505,2009
EL,TOTAL,65624563,2008
EL,TOTAL,65420236,2007
EL,TOTAL,57796551,2006
EL,TOTAL,55264093,2005
EL,TOTAL,52554021,2004
EL,TOTAL,54502104,2003
EL,TOTAL,54466309,2002
EL,TOTAL,56268216,2001
EL,TOTAL,62185893,2000
EL,TOTAL,55881488,1999
EL,TOTAL,52709821,1998
EL,TOTAL,55075809,1997
EL,TOTAL,48662379,1996
EL,TOTAL,50631098,1995
EL,TOTAL,53435111,1994
EL,TOTAL,0,1993
EL,TOTAL,0,1992
EL,TOTAL,0,1991
EL,TOTAL,0,1990
ES,TOTAL,469813551,2019
ES,TOTAL,466940717,2018
ES,TOTAL,471199729,2017
ES,TOTAL,454957250,2016
ES,TOTAL,422226376,2015
ES,TOTAL,403963022,2014
ES,TOTAL,389211987,2013
ES,TOTAL,382670976,2012
ES,TOTAL,389858477,2011
ES,TOTAL,364863944,2010
ES,TOTAL,348554453,2009
ES,TOTAL,375693309,2008
ES,TOTAL,381912458,2007
ES,TOTAL,379275542,2006
ES,TOTAL,353392408,2005
ES,TOTAL,344269394,2004
ES,TOTAL,342540544,2003
ES,TOTAL,338869378,2002
ES,TOTAL,344928554,2001
ES,TOTAL,344663935,2000
ES,TOTAL,256302187,1999
ES,TOTAL,200990710,1998
ES,TOTAL,187083663,1997
ES,TOTAL,178203909,1996
ES,TOTAL,180141161,1995
ES,TOTAL,174833318,1994
ES,TOTAL,156991105,1993
ES,TOTAL,147246235,1992
ES,TOTAL,150315693,1991
ES,TOTAL,142392734,1990
